Species,Mg,TC,MRo2,Watts,ref,
Gyrinophilus porphyrictus ,7.67,15,0.1795,0.001002208,[255] ,
Hydromantes sp. ,3.23,15,0.124,0.000692333,[255] ,
Plethodon cinereus ,0.844,1,0.012,0.000067,[255] ,
Plethodon cinereus ,0.7,5,0.01,5.58333E-05,[255] ,
Plethodon cinereus ,0.7,10,0.015,0.00008375,[255] ,
Plethodon cinereus ,0.862,10,0.0323,0.000180342,[255] ,
Plethodon cinereus ,0.7,14,0.019,0.000106083,[255] ,
Plethodon cinereus ,0.8,15,0.032,0.000178667,[255] ,
Plethodon cinereus ,0.99,15.5,0.039,0.00021775,[255] ,
Plethodon cinereus ,0.7,17.5,0.028,0.000156333,[255] ,
Plethodon cinereus ,0.6,17.5,0.0168,0.0000938,[255] ,
Plethodon cinereus ,0.9,17.5,0.03,0.0001675,[255] ,
Plethodon cinereus ,0.94,18.5,0.0415,0.000231708,[255] ,
Plethodon cinereus ,1,20,0.0476,0.000265767,[255] ,
Plethodon cinereus ,0.89,20,0.0451,0.000251808,[255] ,
Plethodon cinereus ,0.7,21,0.034,0.000189833,[255] ,
Plethodon dorsalis ,0.75,5,0.0083,4.63417E-05,[255] ,
Plethodon dorsalis ,0.77,10,0.0178,9.93833E-05,[255] ,
Plethodon dorsalis ,0.66,15,0.0293,0.000163592,[255] ,
Plethodon dorsalis ,0.71,20,0.0222,0.00012395,[255] ,
Plethodon dorsalis ,0.69,25,0.0239,0.000133442,[255] ,
Plethodon glutinosus ,3.75,5,0.0443,0.000247342,[255] ,
Plethodon glutinosus ,3.65,10,0.0762,0.00042545,[255] ,
Plethodon glutinosus ,4.33,14,0.2464,0.001375733,[255] ,
Plethodon glutinosus ,4.25,15,0.1441,0.000804558,[255] ,
Plethodon glutinosus ,3.65,15,0.1167,0.000651575,[255] ,
Plethodon glutinosus ,4.2,15,0.3444,0.0019229,[255] ,
Plethodon glutinosus ,3.65,20,0.1583,0.000883842,[255] ,
Plethodon glutinosus ,5.01,20,0.1671,0.000932975,[255] ,
Plethodon glutinosus ,3.91,25,0.3237,0.001807325,[255] ,
Plethodon jordani ,3.1,5,0.027,0.00015075,[255] ,
Plethodon jordani ,3.1,10,0.058,0.000323833,[255] ,
Plethodon jordani ,3.1,14,0.087,0.00048575,[255] ,
Plethodon jordani ,1.83,15,0.0511,0.000285308,[255] ,
Plethodon jordani ,3.1,17.5,0.109,0.000608583,[255] ,
Plethodon jordani ,4.3,17.5,0.138,0.0007705,[255] ,
Plethodon jordani ,2.2,17.5,0.071,0.000396417,[255] ,
Plethodon jordani ,3.1,21,0.148,0.000826333,[255] ,
Plethodon jordani ,1.83,25,0.1243,0.000694008,[255] ,
Plethodon neomexicanus ,2.47,5,0.0914,0.000510317,[255] ,
Plethodon neomexicanus ,2.47,10,0.1186,0.000662183,[255] ,
Plethodon neomexicanus ,2.47,15,0.1359,0.000758775,[255] ,
Plethodon neomexicanus ,2.47,20,0.1408,0.000786133,[255] ,
Plethodon neomexicanus ,2.47,25,0.1507,0.000841408,[255] ,
Plethodon spp. ,3.25,22,0.1859,0.001037942,[255] ,
Pseudoeurycea belli ,10.94,15,0.1882,0.001050783,[255] ,
Pseudoeurycea belli ,24.45,25,0.7188,0.0040133,[255] ,
Pseudoeurycea brunnata ,3.33,15,0.656,0.003662667,[255] ,
Pseudoeurycea cephalica ,1.45,15,0.0354,0.00019765,[255] ,
Pseudoeurycea cochranae ,2.23,15,0.0457,0.000255158,[255] ,
Pseudoeurycea gadovii ,3.09,5,0.0442,0.000246783,[255] ,
Pseudoeurycea gadovii ,2.88,15,0.085,0.000474583,[255] ,
Pseudoeurycea gadovii ,2.99,25,0.2443,0.001364008,[255] ,
Pseudoeurycea goebeli ,3.78,5,0.0359,0.000200442,[255] ,
Pseudoeurycea goebeli ,3.66,15,0.0831,0.000463975,[255] ,
Pseudoeurycea goebeli ,3.73,25,0.2842,0.001586783,[255] ,
Pseudoeurycea leprosa ,2.46,15,0.0556,0.000310433,[255] ,
Pseudoeurycea rex ,1.86,15,0.0392,0.000218867,[255] ,
Pseudoeurycea smithii ,6.66,15,0.1185,0.000661625,[255] ,
Pseudoeurycea smithii ,4.2,15,0.1008,0.0005628,[255] ,
Pseudoeurycea smithii ,4.2,25,0.2617,0.001461158,[255] ,
Pseudotriton ruber ,10.81,5,0.0681,0.000380225,[255] ,
Pseudotriton ruber ,10.33,15,0.2324,0.001297567,[255] ,
Pseudotriton ruber ,5.8,15,0.4234,0.002363983,[255] ,
Pseudotriton ruber ,10.66,25,0.6172,0.003446033,[255] ,
Thorius sp. ,0.26,5,0.0041,2.28917E-05,[255] ,
Thorius sp. ,0.31,15,0.008,4.46667E-05,[255] ,
Thorius sp. ,0.25,25,0.0217,0.000121158,[255] ,
Necturus maculosus ,214,5,1.1684,0.006523567,[255] ,
Necturus maculosus ,101.9,5,0.5095,0.002844708,[255] ,
Necturus maculosus ,206,15,2.3031,0.012858975,[255] ,
Necturus maculosus ,101.9,15,1.2228,0.0068273,[255] ,
Necturus maculosus ,150,20,7.215,0.04028375,[255] ,
Necturus maculosus ,115,21.5,3.8956,0.021750433,[255] ,
Necturus maculosus ,114.5,22,3.1488,0.0175808,[255] ,
Necturus maculosus ,212,25,5.6222,0.031390617,[255] ,
Necturus maculosus ,125,25,2.475,0.01381875,[255] ,
Molga torosa? ,17.5,18.5,2.73,0.0152425,[255] ,
Notophthalmus viridescens ,1.63,5,0.0898,0.000501383,[255] ,
Notophthalmus viridescens ,2.43,10,0.1993,0.001112758,[255] ,
Notophthalmus viridescens ,1.72,15,0.0592,0.000330533,[255] ,
Notophthalmus viridescens ,1.7,15,0.1365,0.000762125,[255] ,
Notophthalmus viridescens ,1.23,15,0.0752,0.000419867,[255] ,
Notophthalmus viridescens ,3,20,0.135,0.00075375,[255] ,
Notophthalmus viridescens ,1.31,20,0.1533,0.000855925,[255] ,
Notophthalmus viridescens ,1.35,25,0.125,0.000697917,[255] ,
Notophthalmus viridescens ,1.5,25,0.1532,0.000855367,[255] ,
Salamandra maculosa ,28.32,18.5,3.6448,0.020350133,[255] ,
Salamandra salamandra ,19.1,15,1.5471,0.008637975,[255] ,
Salamandra salamandra ,75,16,1.1273,0.006294092,[255] ,
Salamandra salamandra ,29,16,0.6238,0.003482883,[255] ,
Salamandra salamandra ,10,16,0.4176,0.0023316,[255] ,
Taricha granulosa ,9,5,0.1152,0.0006432,[255] ,
Taricha granulosa ,13.3,5,0.5413,0.003022258,[255] ,
Taricha granulosa ,10,5,0.4,0.002233333,[255] ,
Taricha granulosa ,12.5,10,0.745,0.004159583,[255] ,
Taricha granulosa ,10,10,0.6,0.00335,[255] ,
Taricha granulosa ,6.56,15,0.1601,0.000893892,[255] ,
Taricha granulosa ,13.8,15,1.093,0.006102583,[255] ,
